Text;Size;Color;Angle;Font;Repeat;URL
UP;110;Random;Random;Random;Yes;http://wordart.com/go?word=up
FEEL;71;Random;Random;Random;Yes;http://wordart.com/go?word=feel
HOL';63;Random;Random;Random;Yes;http://wordart.com/go?word=hol'
BITCH;48;Random;Random;Random;Yes;http://wordart.com/go?word=bitch
YAH;43;Random;Random;Random;Yes;http://wordart.com/go?word=yah
LOVE;41;Random;Random;Random;Yes;http://wordart.com/go?word=love
LOYALTY;37;Random;Random;Random;Yes;http://wordart.com/go?word=loyalty
DOWN;36;Random;Random;Random;Yes;http://wordart.com/go?word=down
YEAH;33;Random;Random;Random;Yes;http://wordart.com/go?word=yeah
KNOW;32;Random;Random;Random;Yes;http://wordart.com/go?word=know
OUT;32;Random;Random;Random;Yes;http://wordart.com/go?word=out
WAY;29;Random;Random;Random;Yes;http://wordart.com/go?word=way
MAKE;28;Random;Random;Random;Yes;http://wordart.com/go?word=make
AYY;28;Random;Random;Random;Yes;http://wordart.com/go?word=ayy
DIE;27;Random;Random;Random;Yes;http://wordart.com/go?word=die
SHIT;26;Random;Random;Random;Yes;http://wordart.com/go?word=shit
NIGGA;26;Random;Random;Random;Yes;http://wordart.com/go?word=nigga
TAKE;26;Random;Random;Random;Yes;http://wordart.com/go?word=take
LIL';26;Random;Random;Random;Yes;http://wordart.com/go?word=lil'
LIFE;25;Random;Random;Random;Yes;http://wordart.com/go?word=life
WANNA;25;Random;Random;Random;Yes;http://wordart.com/go?word=wanna
GOD;25;Random;Random;Random;Yes;http://wordart.com/go?word=god
FEAR;25;Random;Random;Random;Yes;http://wordart.com/go?word=fear
SIT;25;Random;Random;Random;Yes;http://wordart.com/go?word=sit
GO;24;Random;Random;Random;Yes;http://wordart.com/go?word=go
ASS;24;Random;Random;Random;Yes;http://wordart.com/go?word=ass
LOOK;23;Random;Random;Random;Yes;http://wordart.com/go?word=look
PUT;22;Random;Random;Random;Yes;http://wordart.com/go?word=put
MONEY;21;Random;Random;Random;Yes;http://wordart.com/go?word=money
'EM;21;Random;Random;Random;Yes;http://wordart.com/go?word='em
NOW;21;Random;Random;Random;Yes;http://wordart.com/go?word=now
FUCK;20;Random;Random;Random;Yes;http://wordart.com/go?word=fuck
DNA;19;Random;Random;Random;Yes;http://wordart.com/go?word=dna
ONE;19;Random;Random;Random;Yes;http://wordart.com/go?word=one
TELL;19;Random;Random;Random;Yes;http://wordart.com/go?word=tell
HUMBLE;19;Random;Random;Random;Yes;http://wordart.com/go?word=humble
SEE;18;Random;Random;Random;Yes;http://wordart.com/go?word=see
BACK;18;Random;Random;Random;Yes;http://wordart.com/go?word=back
WORLD;17;Random;Random;Random;Yes;http://wordart.com/go?word=world
Y'ALL;17;Random;Random;Random;Yes;http://wordart.com/go?word=y'all
WANT;17;Random;Random;Random;Yes;http://wordart.com/go?word=want
GONNA;16;Random;Random;Random;Yes;http://wordart.com/go?word=gonna
SOMETHIN';16;Random;Random;Random;Yes;http://wordart.com/go?word=somethin'
INSIDE;16;Random;Random;Random;Yes;http://wordart.com/go?word=inside
NOBODY;16;Random;Random;Random;Yes;http://wordart.com/go?word=nobody
HUH;16;Random;Random;Random;Yes;http://wordart.com/go?word=huh
HIGH;16;Random;Random;Random;Yes;http://wordart.com/go?word=high
FEELIN';16;Random;Random;Random;Yes;http://wordart.com/go?word=feelin'
HA;16;Random;Random;Random;Yes;http://wordart.com/go?word=ha
PROLLY;15;Random;Random;Random;Yes;http://wordart.com/go?word=prolly
EARTH;15;Random;Random;Random;Yes;http://wordart.com/go?word=earth
BETTER;15;Random;Random;Random;Yes;http://wordart.com/go?word=better
GOTTA;15;Random;Random;Random;Yes;http://wordart.com/go?word=gotta
PRAYIN';15;Random;Random;Random;Yes;http://wordart.com/go?word=prayin'
TIME;14;Random;Random;Random;Yes;http://wordart.com/go?word=time
GIVE;14;Random;Random;Random;Yes;http://wordart.com/go?word=give
NEED;14;Random;Random;Random;Yes;http://wordart.com/go?word=need
YO;14;Random;Random;Random;Yes;http://wordart.com/go?word=yo
MAYBE;14;Random;Random;Random;Yes;http://wordart.com/go?word=maybe
OVER;13;Random;Random;Random;Yes;http://wordart.com/go?word=over
HEAD;13;Random;Random;Random;Yes;http://wordart.com/go?word=head
MORE;13;Random;Random;Random;Yes;http://wordart.com/go?word=more
BEAT;13;Random;Random;Random;Yes;http://wordart.com/go?word=beat
STILL;13;Random;Random;Random;Yes;http://wordart.com/go?word=still
TOUCH;13;Random;Random;Random;Yes;http://wordart.com/go?word=touch
TALKIN';12;Random;Random;Random;Yes;http://wordart.com/go?word=talkin'
CARE;12;Random;Random;Random;Yes;http://wordart.com/go?word=care
MAN;11;Random;Random;Random;Yes;http://wordart.com/go?word=man
LATELY;11;Random;Random;Random;Yes;http://wordart.com/go?word=lately
'BOUT;11;Random;Random;Random;Yes;http://wordart.com/go?word='bout
NEW;10;Random;Random;Random;Yes;http://wordart.com/go?word=new
AGAIN;10;Random;Random;Random;Yes;http://wordart.com/go?word=again
WORK;10;Random;Random;Random;Yes;http://wordart.com/go?word=work
NEVER;10;Random;Random;Random;Yes;http://wordart.com/go?word=never
DAMN;10;Random;Random;Random;Yes;http://wordart.com/go?word=damn
KEEP;10;Random;Random;Random;Yes;http://wordart.com/go?word=keep
RUN;10;Random;Random;Random;Yes;http://wordart.com/go?word=run
HARD;9;Random;Random;Random;Yes;http://wordart.com/go?word=hard
DONE;9;Random;Random;Random;Yes;http://wordart.com/go?word=done
HIT;9;Random;Random;Random;Yes;http://wordart.com/go?word=hit
NOTHIN';9;Random;Random;Random;Yes;http://wordart.com/go?word=nothin'
MADE;9;Random;Random;Random;Yes;http://wordart.com/go?word=made
SEXY;9;Random;Random;Random;Yes;http://wordart.com/go?word=sexy
PERFECT;9;Random;Random;Random;Yes;http://wordart.com/go?word=perfect
LOST;8;Random;Random;Random;Yes;http://wordart.com/go?word=lost
KILL;8;Random;Random;Random;Yes;http://wordart.com/go?word=kill
'CAUSE;8;Random;Random;Random;Yes;http://wordart.com/go?word='cause
SON;8;Random;Random;Random;Yes;http://wordart.com/go?word=son
WELL;8;Random;Random;Random;Yes;http://wordart.com/go?word=well
HERE;8;Random;Random;Random;Yes;http://wordart.com/go?word=here
LIVIN';8;Random;Random;Random;Yes;http://wordart.com/go?word=livin'
LORD;8;Random;Random;Random;Yes;http://wordart.com/go?word=lord
FAMILY;8;Random;Random;Random;Yes;http://wordart.com/go?word=family
KILLED;8;Random;Random;Random;Yes;http://wordart.com/go?word=killed
TWO;8;Random;Random;Random;Yes;http://wordart.com/go?word=two
NIGGAS;8;Random;Random;Random;Yes;http://wordart.com/go?word=niggas
I'MA;8;Random;Random;Random;Yes;http://wordart.com/go?word=i'ma
GODDAMN;8;Random;Random;Random;Yes;http://wordart.com/go?word=goddamn
CHIP;8;Random;Random;Random;Yes;http://wordart.com/go?word=chip
GIRL;8;Random;Random;Random;Yes;http://wordart.com/go?word=girl
FEELINGS;8;Random;Random;Random;Yes;http://wordart.com/go?word=feelings
WATCH;8;Random;Random;Random;Yes;http://wordart.com/go?word=watch
BUZZIN';8;Random;Random;Random;Yes;http://wordart.com/go?word=buzzin'
LIVE;7;Random;Random;Random;Yes;http://wordart.com/go?word=live
STREET;7;Random;Random;Random;Yes;http://wordart.com/go?word=street
HEART;7;Random;Random;Random;Yes;http://wordart.com/go?word=heart
HOP;7;Random;Random;Random;Yes;http://wordart.com/go?word=hop
YEARS;7;Random;Random;Random;Yes;http://wordart.com/go?word=years
PULL;7;Random;Random;Random;Yes;http://wordart.com/go?word=pull
TOLD;7;Random;Random;Random;Yes;http://wordart.com/go?word=told
TRUST;7;Random;Random;Random;Yes;http://wordart.com/go?word=trust
ANTHONY;7;Random;Random;Random;Yes;http://wordart.com/go?word=anthony
CAME;7;Random;Random;Random;Yes;http://wordart.com/go?word=came
RIDE;7;Random;Random;Random;Yes;http://wordart.com/go?word=ride
GOOD;7;Random;Random;Random;Yes;http://wordart.com/go?word=good
OKAY;7;Random;Random;Random;Yes;http://wordart.com/go?word=okay
REAL;7;Random;Random;Random;Yes;http://wordart.com/go?word=real
CALL;7;Random;Random;Random;Yes;http://wordart.com/go?word=call
BITCHES;7;Random;Random;Random;Yes;http://wordart.com/go?word=bitches
FILL;7;Random;Random;Random;Yes;http://wordart.com/go?word=fill
RIGHT;7;Random;Random;Random;Yes;http://wordart.com/go?word=right
JUDGE;7;Random;Random;Random;Yes;http://wordart.com/go?word=judge
LUST;7;Random;Random;Random;Yes;http://wordart.com/go?word=lust
TAUGHT;7;Random;Random;Random;Yes;http://wordart.com/go?word=taught
MURDER;6;Random;Random;Random;Yes;http://wordart.com/go?word=murder
GON';6;Random;Random;Random;Yes;http://wordart.com/go?word=gon'
UNTIL;6;Random;Random;Random;Yes;http://wordart.com/go?word=until
PRAY;6;Random;Random;Random;Yes;http://wordart.com/go?word=pray
LAST;6;Random;Random;Random;Yes;http://wordart.com/go?word=last
