Artista,Album,RELEASE,Track #,Nombre,Plays,Total Palabras,Total Palabras Artista,Total Palabras Feats,Porcentaje Artista por Track,Sílabas,Palabras Únicas,Palabras Monosilábicas ,Palabras Multisilábicas ,Porcentaje Palabras Únicas,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
La Banda Bastön,Luces Fantasma,2/24/17,1,Senor Malor,"233,724",341,341,0,100.00%,616,227,144,65,66.57%,80,69,73,-7,46,2:35,4,40
La Banda Bastön,Luces Fantasma,2/24/17,2,Loco,"732,686",517,517,0,100.00%,855,232,256,58,44.87%,91,81,79,-6,55,4:14,4,51
La Banda Bastön,Luces Fantasma,2/24/17,3,Mienteme Mas,"379,202",453,270,183,59.60%,711,166,261,58,36.64%,111,84,83,-4,76,3:48,27,45
La Banda Bastön,Luces Fantasma,2/24/17,4,No Me Porto Bien,"1,760,514",522,522,0,100.00%,858,182,268,77,34.87%,94,66,79,-8,62,3:26,1,51
La Banda Bastön,Luces Fantasma,2/24/17,5,Memorias (Skit),"127,633",79,0,79,0.00%,134,52,44,17,65.82%,84,65,76,-10,73,0:39,4,35
La Banda Bastön,Luces Fantasma,2/24/17,6,Solo Como Amigos,"1,492,260",669,283,386,42.30%,1150,264,369,138,39.46%,85,56,84,-7,74,4:33,18,56
La Banda Bastön,Luces Fantasma,2/24/17,7,Martes 13,"859,676",685,336,349,49.05%,1168,269,362,124,39.27%,93,75,64,-5,41,4:30,5,48
La Banda Bastön,Luces Fantasma,2/24/17,8,En La Esquina (Skit),"144,249",115,115,0,100.00%,219,93,41,27,80.87%,83,83,57,-8,71,1:35,42,36
La Banda Bastön,Luces Fantasma,2/24/17,9,I'm In La Calle,"204,246",495,252,243,50.91%,883,310,320,55,62.63%,140,65,85,-7,60,3:58,1,39
La Banda Bastön,Luces Fantasma,2/24/17,10,Hasta La Muerte Y Despues,"164,043",837,497,340,59.38%,1390,396,415,128,47.31%,77,72,70,-8,59,7:50,11,37
La Banda Bastön,Luces Fantasma,2/24/17,11,Barriobajeros,"509,066",529,133,396,25.14%,1002,267,212,105,50.47%,150,86,74,-4,72,4:09,7,47
La Banda Bastön,Luces Fantasma,2/24/17,12,Oro,"191,697",452,452,0,100.00%,842,258,206,108,57.08%,174,71,69,-7,61,2:47,3,39
La Banda Bastön,Luces Fantasma,2/24/17,13,Carcel,"226,793",461,339,122,73.54%,867,230,193,99,49.89%,94,66,83,-8,15,3:50,0,41
La Banda Bastön,Luces Fantasma,2/24/17,14,Constelaciones,"156,309",548,413,135,75.36%,961,257,262,94,46.90%,94,86,43,-7,58,4:20,15,37
La Banda Bastön,Luces Fantasma,2/24/17,15,Luces Fantasma,"234,245",369,327,42,88.62%,635,195,187,70,52.85%,60,43,71,-10,38,5:30,38,42
La Banda Bastön,Luces Fantasma,2/24/17,16,Esperando (Skit),"89,884",175,0,175,0.00%,263,88,86,21,50.29%,79,80,59,-6,67,1:00,10,33
La Banda Bastön,Luces Fantasma,2/24/17,17,Haces Mal,"473,049",463,463,0,100.00%,828,152,235,104,32.83%,200,74,55,-7,76,4:23,8,53
La Banda Bastön,Luces Fantasma,2/24/17,18,Gracias,"160,923",571,300,271,52.54%,977,264,323,90,46.23%,80,81,73,-5,73,5:04,11,38
Kendrick Lamar,DAMN.,4/14/17,1,BLOOD.," 44,758,510 ",149,98,51,66%,215,101,100,14,68%,157,25,35,-17,49,1:58,13,69
Kendrick Lamar,DAMN.,4/14/17,2,DNA.," 258,053,140 ",668,668,0,100%,1008,321,434,81,48%,140,51,64,-7,38,3:06,0,85
Kendrick Lamar,DAMN.,4/14/17,3,YAH.," 69,305,652 ",260,254,6,98%,363,136,186,22,52%,70,69,65,-8,62,2:40,61,73
Kendrick Lamar,DAMN.,4/14/17,4,ELEMENT.," 125,155,450 ",668,641,27,96%,893,257,478,30,38%,190,69,73,-5,48,3:29,22,79
Kendrick Lamar,DAMN.,4/14/17,5,FEEL.," 62,285,681 ",566,566,0,100%,819,223,365,42,39%,110,80,73,-8,52,3:35,16,72
Kendrick Lamar,DAMN.,4/14/17,6,LOYALTY.," 167,856,854 ",549,372,177,68%,773,201,390,56,37%,111,54,68,-9,42,3:47,2,83
Kendrick Lamar,DAMN.,4/14/17,7,PRIDE.," 65,314,342 ",483,387,96,80%,702,201,309,35,42%,139,55,67,-7,40,4:35,9,73
Kendrick Lamar,DAMN.,4/14/17,8,HUMBLE.," 535,005,369 ",598,598,0,100%,736,193,486,22,32%,150,61,90,-7,43,2:57,0,90
Kendrick Lamar,DAMN.,4/14/17,9,LUST.," 62,936,525 ",781,750,31,96%,1067,279,555,48,36%,94,56,65,-9,59,5:08,20,72
Kendrick Lamar,DAMN.,4/14/17,10,LOVE.," 163,893,987 ",592,423,169,71%,803,166,410,25,28%,126,58,80,-7,78,3:33,29,85
Kendrick Lamar,DAMN.,4/14/17,11,XXX.," 75,897,658 ",623,556,67,89%,860,296,457,47,48%,130,62,65,-7,30,4:14,15,75
Kendrick Lamar,DAMN.,4/14/17,12,FEAR.," 50,017,570 ",1289,917,372,71%,1796,459,895,84,36%,150,47,59,-7,47,7:41,59,71
Kendrick Lamar,DAMN.,4/14/17,13,GOD.," 51,476,079 ",476,476,0,100%,606,175,360,14,37%,133,56,70,-6,23,4:09,4,73
Kendrick Lamar,DAMN.,4/14/17,14,DUCKWORTH," 47,300,819 ",677,620,57,92%,1024,382,417,69,56%,177,73,55,-7,63,4:09,5,72
