,freq,word,freq JK
0,3.0,wickedness,1.0
1,2.0,weakness,1.0
2,2.0,decide,1.0
3,22.0,gon,11.0
4,7.0,live,5.0
5,27.0,die,24.0
6,2.0,takin,2.0
7,5.0,walk,5.0
8,4.0,day,4.0
9,3.0,seen,3.0
10,1.0,woman—a,1.0
11,1.0,blind,1.0
12,1.0,woman—pacin,1.0
13,1.0,sidewalk,1.0
14,1.0,seemed,1.0
15,4.0,bit,4.0
16,1.0,frustrated,1.0
17,1.0,dropped,1.0
18,11.0,somethin,11.0
19,2.0,havin,1.0
20,9.0,hard,7.0
21,13.0,time,11.0
22,1.0,findin,1.0
23,2.0,watchin,2.0
24,2.0,struggle,1.0
25,24.0,go,23.0
26,1.0,lend,1.0
27,1.0,helping,1.0
28,3.0,hand,2.0
29,32.0,know,28.0
30,1.0,hello,1.0
31,1.0,ma'am,1.0
32,1.0,assistance,1.0
33,2.0,seems,2.0
34,8.0,lost,8.0
35,2.0,something,2.0
36,17.0,would,17.0
37,92.0,like,85.0
38,2.0,help,1.0
39,4.0,find,3.0
40,1.0,replied,1.0
41,5.0,oh,4.0
42,1.0,yes,1.0
43,27.0,life,26.0
44,2.0,lamar,1.0
45,1.0,stated,
46,1.0,views,
47,1.0,police,
48,1.0,brutality,
49,5.0,line,4.0
50,1.0,song,
51,1.0,quote,
52,2.0,hate,1.0
53,1.0,popo,
54,26.0,wan,25.0
55,8.0,kill,7.0
56,21.0,us,15.0
57,7.0,street,6.0
58,1.0,fo,
59,1.0,sho'…,
60,2.0,please,
61,1.0,ugh,
62,1.0,it.i,
63,61.0,got,57.0
64,37.0,loyalty,37.0
65,4.0,royalty,4.0
66,16.0,inside,16.0
67,19.0,dna,19.0
68,1.0,cocaine,1.0
69,3.0,quarter,3.0
70,2.0,piece,2.0
71,2.0,war,2.0
72,3.0,peace,3.0
73,5.0,power,5.0
74,2.0,poison,2.0
75,3.0,pain,2.0
76,1.0,joy,1.0
77,1.0,hustle,1.0
78,2.0,though,2.0
79,2.0,ambition,2.0
80,3.0,flow,3.0
81,3.0,born,3.0
82,2.0,since,2.0
83,19.0,one,15.0
84,1.0,immaculate,1.0
85,1.0,conception,1.0
86,1.0,transform,1.0
87,1.0,perform,1.0
88,1.0,yeshua,1.0
89,10.0,new,6.0
90,1.0,weapon,1.0
91,1.0,contemplate,1.0
92,2.0,meditate,2.0
93,2.0,fucking,2.0
94,13.0,head,13.0
95,1.0,put-the-kids-to-bed,1.0
96,1.0,realness,1.0
97,27.0,shit,26.0
98,8.0,'cause,8.0
99,2.0,millions,2.0
100,2.0,riches,2.0
101,1.0,buildin,1.0
102,3.0,dark,3.0
103,1.0,evil,1.0
104,1.0,rot,1.0
105,1.0,troublesome,1.0
106,7.0,heart,5.0
107,2.0,win,2.0
108,1.0,wimbledon,1.0
109,2.0,serve,2.0
110,33.0,yeah,30.0
111,3.0,sound,1.0
112,1.0,engine,1.0
113,3.0,bird,3.0
114,17.0,see,16.0
115,1.0,fireworks,1.0
116,1.0,corvette,1.0
117,1.0,tire,1.0
118,1.0,skrrt,1.0
119,1.0,boulevard,1.0
120,10.0,work,10.0
121,1.0,a—,1.0
122,48.0,bitch,45.0
123,1.0,hormones,1.0
124,15.0,prolly,15.0
125,1.0,switch,1.0
126,2.0,problem,2.0
127,1.0,sucker,1.0
128,3.0,daddy,3.0
129,1.0,snitched,1.0
130,2.0,heritage,2.0
131,1.0,backbone,1.0
132,1.0,exist,1.0
133,1.0,onside,1.0
134,1.0,jellyfish,1.0
135,1.0,gauge,1.0
136,1.0,pedigree,1.0
137,1.0,definitely,1.0
138,1.0,tolerate,1.0
139,3.0,front,3.0
140,1.0,offend,1.0
141,1.0,paula,1.0
142,2.0,oldest,2.0
143,8.0,son,5.0
144,4.0,murder,4.0
145,1.0,conviction,1.0
146,1.0,burners,1.0
147,1.0,boosters,1.0
148,1.0,burglars,1.0
149,1.0,ballers,1.0
150,3.0,dead,3.0
151,1.0,redemption,1.0
152,1.0,scholars,1.0
153,2.0,fathers,2.0
154,2.0,kids,2.0
155,3.0,wish,3.0
156,1.0,fed,1.0
157,1.0,forgiveness,1.0
158,1.0,soldier,1.0
159,1.0,beast,1.0
160,1.0,expertise,1.0
161,2.0,checked,2.0
162,2.0,second,2.0
163,1.0,grade,1.0
164,2.0,9,2.0
165,1.0,on-sale,1.0
166,1.0,motel,1.0
167,1.0,nowhere,1.0
168,2.0,stay,2.0
169,1.0,29,1.0
170,9.0,done,9.0
171,6.0,well,4.0
172,9.0,hit,9.0
173,1.0,cartwheel,1.0
174,1.0,estate,1.0
175,2.0,shine,2.0
176,1.0,supposed,1.0
177,1.0,antisocial,1.0
178,1.0,extrovert,1.0
179,1.0,excellent,1.0
180,4.0,mean,4.0
181,3.0,extra,3.0
182,1.0,absentness,1.0
183,20.0,fuck,20.0
184,1.0,heard,1.0
185,1.0,pessimists,1.0
