,freq,word,freq Mu
0,5.0,yeah,3.0
1,30.0,solo,25.0
2,13.0,hacer,10.0
3,37.0,quiero,29.0
4,9.0,sabes,8.0
5,31.0,bien,24.0
6,2.0,refiero,2.0
7,4.0,gastando,4.0
8,23.0,vida,17.0
9,13.0,dinero,7.0
10,3.0,flotando,3.0
11,3.0,ligero,3.0
12,2.0,llevo,1.0
13,1.0,tres,1.0
14,10.0,días,4.0
15,2.0,hotel,2.0
16,2.0,dos,2.0
17,1.0,meseras,1.0
18,1.0,chili's,1.0
19,5.0,matando,5.0
20,21.0,mas,15.0
21,1.0,gusto,1.0
22,1.0,bruce,1.0
23,1.0,willis,1.0
24,1.0,tomando,1.0
25,1.0,hennessy,1.0
26,3.0,quemando,3.0
27,1.0,phillies,1.0
28,3.0,what,2.0
29,1.0,more,1.0
30,3.0,can,1.0
31,37.0,i,2.0
32,2.0,say,1.0
33,1.0,dope,1.0
34,1.0,dealing,1.0
35,2.0,volví,2.0
36,1.0,guapo,1.0
37,7.0,mientras,7.0
38,1.0,daba,1.0
39,1.0,concierto,1.0
40,2.0,dando,2.0
41,1.0,conciertos,1.0
42,1.0,experto,1.0
43,3.0,vivimos,3.0
44,1.0,odiarnos,1.0
45,1.0,pelearnos,1.0
46,5.0,respeto,5.0
47,4.0,después,3.0
48,2.0,hombres,2.0
49,1.0,iguales,1.0
50,4.0,muertos,3.0
51,1.0,rumores,1.0
52,2.0,vagos,2.0
53,27.0,calle,14.0
54,1.0,mago,1.0
55,2.0,valle,1.0
56,5.0,santo,5.0
57,7.0,dicen,5.0
58,8.0,morras,2.0
59,5.0,vatos,1.0
60,1.0,muelas,1.0
61,1.0,ganando,1.0
62,11.0,hace,11.0
63,3.0,rato,3.0
64,1.0,oliver,1.0
65,1.0,atom,1.0
66,2.0,pedo,1.0
67,4.0,escuela,3.0
68,7.0,da,7.0
69,1.0,risa,1.0
70,1.0,jorge,1.0
71,2.0,ortiz,1.0
72,1.0,pinedo,1.0
73,7.0,claro,6.0
74,1.0,credo,1.0
75,2.0,bebo,2.0
76,5.0,elevo,5.0
77,1.0,celebro,1.0
78,1.0,tiro,1.0
79,1.0,cebo,1.0
80,3.0,cerebro,3.0
81,1.0,emcees,1.0
82,1.0,tiran,1.0
83,1.0,hate,1.0
84,10.0,luego,10.0
85,1.0,tiemblan,1.0
86,5.0,huevos,3.0
87,1.0,faggets,1.0
88,1.0,chupan,1.0
89,1.0,glandes,1.0
90,2.0,raperos,2.0
91,1.0,suaves,1.0
92,1.0,ned,1.0
93,1.0,flanders,1.0
94,5.0,quieren,5.0
95,3.0,guerra,3.0
96,13.0,pa,11.0
97,1.0,darles,1.0
98,1.0,papas,1.0
99,1.0,refresco,1.0
100,1.0,grande,1.0
101,2.0,pinches,1.0
102,1.0,modas,1.0
103,1.0,tendencias,1.0
104,1.0,flowcitos,1.0
105,1.0,maricones,1.0
106,11.0,igual,11.0
107,1.0,apariencia,1.0
108,9.0,va,8.0
109,5.0,salir,2.0
110,1.0,hernia,1.0
111,2.0,cargar,2.0
112,1.0,pose,1.0
113,4.0,aun,4.0
114,1.0,viven,1.0
115,1.0,narnia,1.0
